ts_us,event_type,side,price,size,order_id,level
1765351552882991,snapshot,,100.0,0,0,0
1765351552883016,cancel,B,99.96,0,1,4
1765351552883126,modify,S,100.03,11,1,3
1765351552883226,add,S,100.05,6,1,6
1765351552883339,add,S,100.1,3,2,10
1765351552883484,add,B,99.92,36,3,7
1765351552883528,modify,S,100.05,23,3,6
1765351552883599,add,B,99.94,15,4,5
1765351552883703,add,B,99.93,24,5,6
1765351552883836,add,B,99.99,41,6,2
1765351552883912,add,B,99.92,18,7,8
1765351552884072,cancel,S,100.05,0,2,6
1765351552884190,add,S,100.05,18,8,6
1765351552884199,add,S,100.04,42,9,6
1765351552884354,add,S,100.07,17,10,8
1765351552884408,add,S,100.06,38,11,5
1765351552884545,modify,B,99.93,5,7,6
1765351552884656,add,S,100.01,41,12,2
1765351552884711,modify,B,99.9,13,7,10
1765351552884867,trade,,99.99,88,0,0
1765351552884983,add,S,100.07,22,13,5
1765351552885005,add,B,100.0,47,14,1
1765351552885124,trade,,99.99,65,0,0
1765351552885204,modify,S,100.09,5,5,9
1765351552885338,modify,S,100.09,20,9,9
1765351552885432,add,B,99.93,16,15,6
1765351552885498,add,S,100.0,47,16,2
1765351552885653,modify,S,100.03,18,5,3
1765351552885712,add,S,100.06,35,17,7
1765351552885887,cancel,B,99.94,0,7,5
1765351552885976,cancel,B,99.91,0,15,9
1765351552886022,add,B,99.91,15,18,10
1765351552886166,add,B,99.99,5,19,1
1765351552886195,modify,B,99.91,22,3,9
1765351552886353,add,B,99.92,31,20,10
1765351552886422,modify,B,99.96,22,14,4
1765351552886546,add,B,100.0,42,21,1
1765351552886673,add,B,99.92,16,22,6
1765351552886715,add,B,99.91,18,23,7
1765351552886850,add,S,100.08,7,24,8
1765351552886897,cancel,S,100.01,0,18,1
1765351552887087,modify,B,99.91,7,6,7
1765351552887142,trade,,100.0,34,0,0
1765351552887249,add,S,100.1,46,25,9
1765351552887353,add,B,100.01,48,26,1
1765351552887460,add,B,100.02,31,27,1
1765351552887555,trade,,99.99,8,0,0
1765351552887656,add,B,99.91,44,28,10
1765351552887721,add,S,100.09,38,29,10
1765351552887867,add,B,99.92,34,30,10
1765351552887931,trade,,99.99,34,0,0
1765351552888041,add,S,100.08,49,31,8
1765351552888100,add,S,100.08,5,32,10
1765351552888259,add,B,99.91,16,33,6
1765351552888338,add,B,99.92,20,34,9
1765351552888469,trade,,99.99,86,0,0
1765351552888561,add,S,100.03,8,35,3
1765351552888604,cancel,B,99.94,0,10,5
1765351552888717,cancel,S,100.07,0,14,5
1765351552888823,trade,,100.0,36,0,0
1765351552888896,add,S,100.06,48,36,5
1765351552889047,cancel,B,99.92,0,28,9
1765351552889100,trade,,99.99,70,0,0
1765351552889195,modify,B,99.97,2,36,3
1765351552889330,add,S,100.01,14,37,1
1765351552889478,add,B,99.92,40,38,9
1765351552889586,add,S,100.02,27,39,3
1765351552889594,add,S,100.07,48,40,7
1765351552889722,add,S,100.0,3,41,2
1765351552889851,add,S,100.08,20,42,8
1765351552889920,add,S,100.07,18,43,7
1765351552889999,trade,,100.0,87,0,0
1765351552890159,add,B,99.93,38,44,5
1765351552890224,add,S,100.05,21,45,6
1765351552890346,cancel,B,99.99,0,33,2
1765351552890464,add,B,99.9,34,46,7
1765351552890559,cancel,B,99.96,0,43,4
1765351552890599,trade,,100.0,80,0,0
1765351552890731,cancel,S,100.06,0,8,5
1765351552890876,add,B,99.94,9,47,5
1765351552890915,add,S,100.03,37,48,3
1765351552891029,add,S,100.06,14,49,5
1765351552891146,modify,B,99.91,15,39,6
1765351552891277,add,B,99.98,6,50,3
1765351552891327,add,S,100.04,49,51,6
1765351552891421,cancel,B,99.96,0,15,4
1765351552891496,add,B,99.99,27,52,2
1765351552891671,cancel,B,99.9,0,46,7
1765351552891722,add,S,100.0,15,53,2
1765351552891813,modify,B,99.92,18,45,9
1765351552891922,trade,,100.01,86,0,0
1765351552892058,trade,,100.01,97,0,0
1765351552892147,cancel,B,99.92,0,47,9
1765351552892261,add,B,99.92,17,54,8
1765351552892387,add,S,100.1,41,55,9
1765351552892421,add,B,99.93,18,56,5
1765351552892533,add,S,100.02,15,57,3
1765351552892640,cancel,B,99.96,0,46,4
1765351552892743,add,B,100.01,27,58,1
1765351552892840,trade,,100.0,62,0,0
1765351552892891,trade,,100.0,97,0,0
1765351552893040,modify,S,100.07,24,54,7
1765351552893160,modify,B,99.96,9,58,4
1765351552893246,add,B,99.91,11,59,7
1765351552893350,trade,,100.0,76,0,0
1765351552893463,cancel,B,99.91,0,6,7
1765351552893550,add,B,99.9,30,60,6
1765351552893632,add,S,100.06,17,61,5
1765351552893701,add,S,100.01,15,62,1
1765351552893874,add,S,100.0,16,63,1
1765351552893916,modify,B,99.98,16,40,3
1765351552894076,add,S,100.09,17,64,8
1765351552894189,add,S,99.99,20,65,2
1765351552894204,cancel,S,100.08,0,40,10
1765351552894339,add,S,100.0,45,66,2
1765351552894471,add,S,100.07,39,67,5
1765351552894506,modify,S,100.04,22,6,6
1765351552894638,add,S,100.0,32,68,1
1765351552894704,add,B,99.93,10,69,8
1765351552894846,add,S,100.08,35,70,5
1765351552894990,add,B,99.92,21,71,10
1765351552895022,modify,S,100.08,8,12,5
1765351552895187,add,S,100.07,2,72,7
1765351552895254,modify,B,99.93,26,24,8
1765351552895324,add,S,100.09,1,73,5
1765351552895457,trade,,99.99,31,0,0
1765351552895583,add,S,100.05,31,74,4
1765351552895673,cancel,B,100.01,0,58,1
1765351552895719,add,B,99.92,31,75,10
1765351552895861,add,B,99.92,23,76,9
1765351552895980,add,B,99.95,47,77,4
1765351552896015,add,S,100.01,14,78,3
1765351552896185,add,S,100.11,19,79,9
1765351552896203,modify,B,99.95,10,38,4
1765351552896292,cancel,B,99.93,0,17,5
1765351552896397,cancel,B,99.93,0,17,8
